Altium Designer Pick and Place Locations
D:\svn\applications\hardware\pca63100\trunk\production_files\400491_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       02.11.20
Time:       13:21
Revision:   18750
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R94","47R","TopLayer","RESC0603X03L_C","38.1550","38.3750","270","Resistor, ±1%, 0.05W"
"R95","47R","TopLayer","RESC0603X03L_C","35.6950","38.3750","270","Resistor, ±1%, 0.05W"
"R100","1M0","TopLayer","RESC0603X03L_C","37.9000","43.4000","180","Resistor, ±1%, 0.05W"
"R101","1M0","TopLayer","RESC0603X03L_C","34.4500","43.3250","180","Resistor, ±1%, 0.05W"
"R33","1k","TopLayer","RESC1005X04L","61.5213","23.4249","180","Resistor, ±0.1%, 0.063W"
"R90","120k","TopLayer","RESC0603X03L_C","71.3500","15.5326","90","Resistor, ±1%, 0.05W"
"R92","30k","TopLayer","RESC0603X03L_C","71.3500","13.9250","90","Resistor, ±1%, 0.05W"
"R34","120k","TopLayer","RESC0603X03L_C","70.5556","15.5326","90","Resistor, ±1%, 0.05W"
"R36","30k","TopLayer","RESC0603X03L_C","70.5556","13.9250","90","Resistor, ±1%, 0.05W"
"Q15","DMN2050LFDB","TopLayer","DFN65P200X60_HS-6N","37.6000","41.6500","270","Dual N Ch MOFET, 3.3A, 45mOhm @ 5A, 4.5V, 730mW"
"Q16","EFC6604R","TopLayer","BGA6C65P2X3_146X191X22","70.9556","17.5188","360","Dual MOSFET, Dual N Channel, 13 A, 12 V, 0.009 ohm, 4.5 V, 2.5 V"
"Q17","DMN2050LFDB","TopLayer","DFN65P200X60_HS-6N","59.1900","15.8750","360","Dual N Ch MOFET, 3.3A, 45mOhm @ 5A, 4.5V, 730mW"
"R104","100k","TopLayer","RESC0603X03L_C","59.2000","17.7250","90","Resistor, ±1%, 0.05W"
"R105","100k","TopLayer","RESC0603X03L_C","58.6000","17.7250","90","Resistor, ±1%, 0.05W"
"R106","1M0","TopLayer","RESC0603X03L_C","30.6600","27.0600","360","Resistor, ±1%, 0.05W"
"R107","1M0","TopLayer","RESC0603X03L_C","30.6600","28.3300","360","Resistor, ±1%, 0.05W"
"Q1","DMN2050LFDB","TopLayer","DFN65P200X60_HS-6N","34.1500","41.6500","90","Dual N Ch MOFET, 3.3A, 45mOhm @ 5A, 4.5V, 730mW"
"C5","10µF","TopLayer","CAPC1608X06L","68.4000","14.2000","360","CAP CER 10UF 10V X7T 0603"
"R71","1k","TopLayer","RESC0603X03L_C","57.2000","42.2650","90","Resistor, ±1%, 0.05W"
"U8","ADP2504","TopLayer","SON50P300X80-HS-11N","78.8900","20.4938","180","Buck-Boost Switching Regulator IC Positive Adjustable 2.8V 1 Output 1A"
"U10","MCP4451_100k","TopLayer","QFN50P400X400X80_HS-21N","74.1250","45.2500","360","Quad Digital Potentiometer, 100k, 257 taps, I2C interface, Volatile Memory, 1.8-5.5V"
"R55","4k7","TopLayer","RESC0603X03L_C","30.6600","25.7900","360","Resistor, ±1%, 0.05W"
"Q11","DMN2050LFDB","TopLayer","DFN65P200X60_HS-6N","59.1900","22.7750","360","Dual N Ch MOFET, 3.3A, 45mOhm @ 5A, 4.5V, 730mW"
"U5","ADP5072","TopLayer","BGA20C40P4X5_161X218X56","51.7001","47.9250","270","Boost Switching Regulator IC Positive and Negative (Dual Rail) Adjustable 0.8V 2 Output 600mA, 1A 20-UFBGA,"
"R30","3k","TopLayer","RESC0603X03L_C","74.6750","32.0060","180","Resistor, ±1%, 0.05W"
"R32","6k8","TopLayer","RESC0603X03L_C","74.6750","32.6810","180","Resistor, ±1%, 0.05W"
"R42","110R","TopLayer","RESC1005X04L","63.1963","28.2313","180","Resistor, ±1%, 0.063W"
"R53","47R","TopLayer","RESC0603X03L_C","70.6500","22.8510","180","Resistor, ±1%, 0.05W"
"R27","6k8","TopLayer","RESC0603X03L_C","72.9250","32.6810","180","Resistor, ±1%, 0.05W"
"R31","6k8","TopLayer","RESC0603X03L_C","75.8850","33.3560","180","Resistor, ±1%, 0.05W"
"C45","1.0µF","TopLayer","CAPC0603X03L_C","57.2000","41.1350","270","Capacitor, X5R, ±10%"
"C43","4.7µF","TopLayer","CAPC1005X04L","55.7250","39.9751","360","Capacitor, X5R, ±20%"
